date,t
2014-08-11,26.859999999999996
2014-08-12,28.3
2014-08-13,23.92
2014-08-14,30.360000000000003
2014-08-15,23.42
2014-08-16,22.16
2014-08-17,18.36
2014-08-18,20.66
2014-08-19,23.34
2014-08-20,24.28
2014-08-21,23.46
2014-08-22,15.74
2014-08-23,19.859999999999996
2014-08-24,18.1
2014-08-25,16.5
2014-08-26,17.740000000000002
2014-08-27,16.880000000000003
2014-08-28,14.86
2014-08-29,17.16
2014-08-30,20.12
2014-08-31,20.72
2014-09-01,22.74
2014-09-02,23.7
2014-09-03,21.520000000000003
2014-09-04,17.119999999999997
2014-09-05,18.160000000000004
2014-09-06,19.96
2014-09-07,21.799999999999997
2014-09-08,22.18
2014-09-09,22.080000000000002
2014-09-10,21.259999999999998
2014-09-11,20.82
2014-09-12,21.16
2014-09-13,22.439999999999998
2014-09-14,22.279999999999998
2014-09-15,13.680000000000001
2014-09-16,15.719999999999999
2014-09-17,17.520000000000003
2014-09-18,15.5
2014-09-19,16.04
2014-09-20,15.9
2014-09-21,13.040000000000001
2014-09-22,12.399999999999999
2014-09-23,11.719999999999999
2014-09-24,6.859999999999999
2014-09-25,9.58
2014-09-26,12.04
2014-09-27,13.580000000000002
2014-09-28,13.580000000000002
2014-09-29,15.1
2014-09-30,15.079999999999998
2014-10-01,11.42
2014-10-02,10.040000000000001
2014-10-03,10.48
2014-10-04,11.02
2014-10-05,11.919999999999998
2014-10-06,9.5
2014-10-07,8.720000000000002
2014-10-08,9.52
2014-10-09,12.52
2014-10-10,14.219999999999999
2014-10-11,16.240000000000002
2014-10-12,15.780000000000001
2014-10-13,17.940000000000005
2014-10-14,16.3
2014-10-15,16.9
2014-10-16,14.679999999999998
2014-10-17,12.16
2014-10-18,3.6799999999999997
2014-10-19,4.159999999999999
2014-10-20,12.5
2014-10-21,12.2
2014-10-22,10.46
2014-10-23,1.6800000000000002
2014-10-24,-2.2
2014-10-25,-0.7200000000000001
2014-10-26,2.9749999999999996
2014-10-27,4.45
2014-10-28,5.3999999999999995
2014-10-29,6.45
2014-10-30,8.175
2014-10-31,6.525
2014-11-01,2.95
2014-11-02,-0.275
2014-11-03,4.05
2014-11-04,8.9
2014-11-05,9.525
2014-11-06,8.05
2014-11-07,5.925
2014-11-08,11.55
2014-11-09,12.475
2014-11-10,10.4
2014-11-11,6.375
2014-11-12,4.65
2014-11-13,5.075
2014-11-14,3.125
2014-11-15,3.825
2014-11-16,5.225
2014-11-17,0.7999999999999999
2014-11-18,-1.7999999999999998
2014-11-19,-0.275
2014-11-20,1.025
2014-11-21,2.6
2014-11-22,-0.07500000000000001
2014-11-23,-1.7999999999999998
2014-11-24,-3.975
2014-11-25,-4.225
2014-11-26,-5.125
2014-11-27,-4.6
2014-11-28,-3.75
2014-11-29,-3.55
2014-11-30,-4.475
2014-12-01,-6.625
2014-12-02,-6.225
2014-12-03,-7.65
2014-12-04,-7.0249999999999995
2014-12-05,-8.525
2014-12-06,-5.025
2014-12-07,-5.5
2014-12-08,-4.475
2014-12-09,-0.625
2014-12-10,0.02500000000000001
2014-12-11,0.42500000000000004
2014-12-12,1.125
2014-12-13,3.6499999999999995
2014-12-14,3.55
2014-12-15,2.225
2014-12-16,-0.325
2014-12-17,3.475
2014-12-18,0.35000000000000003
2014-12-19,4.425
2014-12-20,5.699999999999999
2014-12-21,3.1750000000000003
2014-12-22,2.075
2014-12-23,7.300000000000001
2014-12-24,6.5
2014-12-25,5.45
2014-12-26,-4.225
2014-12-27,-6.225
2014-12-28,-6.75
2014-12-29,-7.625
2014-12-30,-9.0
2014-12-31,-9.149999999999999
2015-01-01,-1.375
2015-01-02,1.925
2015-01-03,3.125
2015-01-04,1.125
2015-01-05,-0.7000000000000001
2015-01-06,-10.425
2015-01-07,-11.95
2015-01-08,-10.875
2015-01-09,-1.6
2015-01-10,2.0250000000000004
2015-01-11,3.3
2015-01-12,2.075
2015-01-13,5.15
2015-01-14,5.875
2015-01-15,2.6999999999999997
2015-01-16,-0.675
2015-01-17,0.20000000000000004
2015-01-18,0.9500000000000001
2015-01-19,0.575
2015-01-20,0.25
2015-01-21,0.525
2015-01-22,0.425
2015-01-23,2.025
2015-01-24,-0.325
2015-01-25,-3.0
2015-01-26,-1.5499999999999998
2015-01-27,-0.47500000000000003
2015-01-28,-1.0
2015-01-29,0.45
2015-01-30,2.7
2015-01-31,6.475
2015-02-01,2.225
2015-02-02,2.7
